author_id,author_name
ajmal.hamda-b,"Ajmal, Hamda B."
alshammri.fayed,"Alshammri, Fayed"
beerenwinkel.niko," Beerenwinkel, Niko"
berhanu.shiferaw,"Berhanu, S."
bertrand.florian,"Bertrand, Florian"
bhattacharyya.dhrubasish,"Bhattacharyya, Dhrubasish"
camara.m-cristina,"Câmara, M. Cristina"
caravagna.giulio,"Caravagna, Giulio"
carneiro.maycow-goncalves," Carneiro, Maycow Gonçalves"
castelani.emerson-vitor," Castelani, Emerson Vitor"
chan.ngai-hang," Chan, Ngai Hang"
chattopadhyay.arup,"Chattopadhyay, Arup"
chien.li-chu,"Chien, Li-Chu"
columbu.silvia,"Columbu, Silvia"
da-silva.eduardo-brandani,"da Silva, Eduardo Brandani"
das.soma," Das, Soma"
dawid.philip," Dawid, Philip"
dayan.alberto,"Dayan, Alberto"
de-andrade.mariza,"de Andrade, Mariza"
de-castro.mario-h," de Castro, Mário"
de-vito.giorgio,"De Vito, Giorgio"
degruttola.victor-g," DeGruttola, Victor"
derridj.makhlouf,"Derridj, Makhlouf"
duarte.nubia-e," Duarte, Nubia E."
eleftherakis.george-k,"Eleftherakis, G. K."
foroutaifar.saheb,"Foroutaifar, Saheb"
gregorio.federica,"Gregorio, Federica"
haroske.dorothee-d,"Haroske, Dorothee D."
hou.lin," Hou, Lin"
huang.xiaojun,"Huang, Xiaojun"
jackson.samuel-e,"Jackson, Samuel E."
jiang.qing," Jiang, Qing"
kalogridis.ioannis,"Kalogridis, Ioannis"
khan.ruhul-ali," Khan, Ruhul Ali"
klis-garlicka.kamila," Kliś-Garlicka, Kamila"
krejcirik.david,"Krejčiřík, David"
kunert.joachim," Kunert, Joachim"
kurimaiova.tereza," Kurimaiová, Tereza"
lanucha.bartosz," Łanucha, Bartosz"
li.gengxin,"Li, Gengxin"
li.yuanbo,"Li, Yuanbo"
lindsey.keith," Lindsey, Keith"
little.susan," Little, Susan"
liu.junli," Liu, Junli"
liu.xiaoyu," Liu, Xiaoyu"
liu.yin.2,"Liu, Yin"
lu.bo," Lu, Bo"
madden.michael-g," Madden, Michael G."
mameli.valentina," Mameli, Valentina"
mano.shuhei," Mano, Shuhei"
marchand.eric,"Marchand, Éric"
mazo-lopera.mauricio-a," Mazo Lopera, Mauricio A."
mitra.murari," Mitra, Murari"
montazeri.hesam,"Montazeri, Hesam"
mozaffarilegha.mozhgan," Mozaffarilegha, Mozhgan"
mugnolo.delio," Mugnolo, Delio"
musio.monica," Musio, Monica"
pan.jiazhu," Pan, Jiazhu"
papapetros.e," Papapetros, E."
pradhan.chandan," Pradhan, Chandan"
pronzato.luc,"Pronzato, Luc"
ptak.marek," Ptak, Marek"
rancourt.fanny," Rancourt, Fanny"
salamanca.juan-jesus,"Salamanca, Juan Jesús"
singh.rakhi,"Singh, Rakhi"
skrzypczak.leszek," Skrzypczak, Leszek"
song.xiaojun,"Song, Xiaojun"
strawderman.william-edward," Strawderman, William E."
stufken.john," Stufken, John"
taamouti.abderrahim," Taamouti, Abderrahim"
tian.guoliang," Tian, Guo-Liang"
tong.xingwei," Tong, Xingwei"
tsukuda.koji,"Tsukuda, Koji"
van-aelst.stefan," Van Aelst, Stefan"
vernon.ian," Vernon, Ian"
vidal.ignacio,"Vidal, Ignacio"
wang.haiying," Wang, HaiYing"
wang.mingqiu," Wang, Mingqiu"
wu.cen," Wu, Cen"
wu.peng,"Wu, Peng"
xiao.ming," Xiao, Ming"
xu.xinyi," Xu, Xinyi"
yamamoto.toshimichi," Yamamoto, Toshimichi"
yau.chun-yip," Yau, Chun Yip"
zhang.rongmao," Zhang, Rongmao"
