id,document_title,source,classifications,doi,publication_year,author,keywords
oai:zbmath.org:7289984,"Albert Einstein, Boris Podolsky, Nathan Rosen. Can quantum-mechanical description of physical reality be considered complete? (to appear)","Classic Texts in the Sciences. Cham: Birkhäuser (ISBN 978-3-030-47036-4/hbk; 978-3-030-47037-1/ebook). x, 100~p. (2021)",81-XX,10.1007/978-3-030-47037-1,2021,,
oai:zbmath.org:7290017,An Event-B based approach for cloud composite services verification,"Formal Asp. Comput. 32, No. 4-6, 361-393 (2020).",68M11;68Q60,10.1007/s00165-020-00517-0,2020,"Lahouij, Aida; Hamel, Lazhar; Graiet, Mohamed; el Ayeb, Béchir",formal verification;cloud composite services;semantic verification;behavioral verification;resource allocation;Event-B
oai:zbmath.org:7290018,TFA: an efficient and precise virtual method call resolution for Java,"Formal Asp. Comput. 32, No. 4-6, 395-416 (2020).",68N15;68N19,10.1007/s00165-020-00518-z,2020,"Zhuo, Xilong; Zhang, Chenyi",type analysis;static analysis;virtual method resolution;call-graph construction
oai:zbmath.org:7290019,Formalization of camera pose estimation algorithm based on Rodrigues formula,"Formal Asp. Comput. 32, No. 4-6, 417-437 (2020).",68T45;68Q60;68T40;68V15,10.1007/s00165-020-00520-5,2020,"Chen, Shanyan; Wang, Guohui; Li, Ximeng; Zhang, Qianying; Shi, Zhiping; Guan, Yong",camera pose estimation;Rodrigues formula;least squares method;formalization;HOL Light
oai:zbmath.org:7290020,Inference for the difference of two independent KS Sharpe ratios under lognormal returns,"J. Probab. Stat. 2020, Article ID 6751574, 6 p. (2020)",91G10;62P05,10.1155/2020/6751574,2020,"Qi, J.; Rekkas, M.; Wong, A.",
oai:zbmath.org:7290047,A two-step Newton-type method for solving system of absolute value equations,"Math. Probl. Eng. 2020, Article ID 2798080, 7 p. (2020).",65H10;90C33,10.1155/2020/2798080,2020,"Shi, Lei; Iqbal, Javed; Arif, Muhammad; Khan, Alamgir",
oai:zbmath.org:7290048,Analysis of rotary vibration of rigid friction pipe pile in unsaturated soil,"Math. Probl. Eng. 2020, Article ID 2807574, 12 p. (2020).",74H45;74L10,10.1155/2020/2807574,2020,"Zhao, Fu-yao; Xiang, Peng",
oai:zbmath.org:7290051,Solving the set packing problem via a maximum weighted independent set heuristic,"Math. Probl. Eng. 2020, Article ID 3050714, 11 p. (2020).",90C27;90C59,10.1155/2020/3050714,2020,"Li, Ruizhi; Wang, Yupan; Hu, Shuli; Jiang, Jianhua; Ouyang, Dantong; Yin, Minghao",
oai:zbmath.org:7290052,Numerical analysis and entropy generation of electrokinetic flow of power-law fluid in a microtriangular prism,"Math. Probl. Eng. 2020, Article ID 3085162, 15 p. (2020).",76M20;65M06;76A05;76W05,10.1155/2020/3085162,2020,"Alshammari, Fehaid Salem",
oai:zbmath.org:7290058,Action strategy analysis in probabilistic preference movement-based three-way decision,"Math. Probl. Eng. 2020, Article ID 5436507, 13 p. (2020).",90B50,10.1155/2020/5436507,2020,"Jiang, Chunmao; Zhao, Shubao",
oai:zbmath.org:7290059,A novel IVPLTS decision method based on regret theory and cobweb area model,"Math. Probl. Eng. 2020, Article ID 5649525, 10 p. (2020).",91B06,10.1155/2020/5649525,2020,"Li, Peng; Peng, Huanhuan",
oai:zbmath.org:7290060,Approximate analytic solutions of two-dimensional nonlinear Klein-Gordon equation by using the reduced differential transform method,"Math. Probl. Eng. 2020, Article ID 5753974, 12 p. (2020).",65M99;35Q53,10.1155/2020/5753974,2020,"Belayeh, Wayinhareg Gashaw; Mussa, Yesuf Obsie; Gizaw, Ademe Kebede",
