qid,Len,P31,P1556,#
,"Aangenent, W. H. T. M.",Q5,aangenent.w-h-t-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aardal, Karen",Q5,aardal.karen-i,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aarts, Gert",Q5,aarts.gert,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aavatsmark, Ivar",Q5,aavatsmark.ivar,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abad, Alberto",Q5,abad.alberto-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abad, A.",Q5,abad.alberto-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abad, J. O.",Q5,abad.j-o,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abada, Asmaa",Q5,abada.asmaa,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abánades, Miguel A.",Q5,abanades.miguel-angel,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abate, Alessandro",Q5,abate.alessandro,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abate, J.",Q5,abate.joseph,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abbasbandy, Saeid",Q5,abbasbandy.saeid,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abbasbandy, Saeid",Q5,abbasbandy.saeid,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abbasbandy, S.",Q5,abbasbandy.saeid,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abbasi, Aida",Q5,abbasi.aida,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abbasi, Rosa",Q5,abbasi.rosa,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abbo, Andrew J.",Q5,abbo.andrew-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abbott, John",Q5,abbott.john-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abdelkader, Nabbou",Q5,abdelkader.nabbou,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abdella, Kenzu",Q5,abdella.kenzu,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abdelmadjid, Hamouine",Q5,abdelmadjid.hamouine,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdi, Ali",Q5,abdi.ali,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdi, A.",Q5,abdi.ali,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdul Rahman, Syariza",Q5,abdul-rahman.syariza,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdul-Rahman, Syariza",Q5,abdul-rahman.syariza,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdulaziz, Mohammad",Q5,abdulaziz.mohammad,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abdulkarim, Mustafa Elkasih",Q5,abdulkarim.mustafa-elkasih,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdulla, T. J.",Q5,abdulla.t-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abdullaev, Nasrulla D.",Q5,abdullaev.nasrulla-d,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdullah, Salwani",Q5,abdullah.salwani,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abdullakutty, Faseela Chakkalakkal",Q5,abdullakutty.faseela-chakkalakkal,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abdulle, Assyr",Q5,abdulle.assyr,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abdusalam, H. A.",Q5,abdusalam.h-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"AbdusSalam, S.",Q5,abdussalam.shehu-s,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abe, Hiroyuki",Q5,abe.hiroyuki,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abe, Tetsuo",Q5,abe.tetsuo,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abebe, Seyum Assefa",Q5,abebe.seyum-assefa,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abed, Sa'ed",Q5,abed.saed,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abedi, R.",Q5,abedi.reza,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abel, S.",Q5,abel.steven-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abelard, Simon",Q5,abelard.simon,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abgrall, R.",Q5,abgrall.remi,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abisset-Chavanne, E.",Q5,abisset-chavanne.emmanuelle,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abłamowicz, Rafał",Q5,ablamowicz.rafal,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ablamowicz, Rafal",Q5,ablamowicz.rafal,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abłamowicz, Rafał",Q5,ablamowicz.rafal,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ablinger, J.",Q5,ablinger.jakob,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ablinger, Jakob",Q5,ablinger.jakob,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abolhassani, Ali",Q5,abolhassani.ali,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abou-Bakr, Ehab",Q5,abou-bakr.ehab,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abraham, Edo",Q5,abraham.edo,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ábrahám, Erika",Q5,abraham.erika,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ábrahám, Erika",Q5,abraham.erika,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abraham, J. P.",Q5,abraham.john-p,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abrams, Cameron F.",Q5,abrams.cameron-f,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abramson, David",Q5,abramson.david,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abrashkevich, A. G.",Q5,abrashkevich.a-g,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abrashkevich, A. G.",Q5,abrashkevich.a-g,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abrashkevich, Alexander",Q5,abrashkevich.alexander,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abrashkevich, D. G.",Q5,abrashkevich.d-g,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abrell, Jan",Q5,abrell.jan,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abreu, João",Q5,abreu-junior.joao-carlos,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abreu, Giuseppe",Q5,abreu.giuseppe,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Abreu, Salvador",Q5,abreu.salvador,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abreu, Samuel",Q5,abreu.samuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abril Bucero, Marta",Q5,abril-bucero.marta,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Absil, P.-A.",Q5,absil.pierre-antoine,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abukhdeir, Nasser Mohieddin",Q5,abukhdeir.nasser-mohieddin,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Abushaikha, Ahmad S.",Q5,abushaikha.ahmad-s,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Acary, Vincent",Q5,acary.vincent,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Acciaro, Vincenzo",Q5,acciaro.vincenzo,2022-01-27 15:30:29.884880: imported from zbMath Open API
