qid,Len,P31,P894,#
,swMATH,Q7397,'0',2022-01-27 16:24:02.058187: imported from zbMath Open API
,FORTRAN,Q7397,'1',2022-01-27 16:24:02.058187: imported from zbMath Open API
,SuperLU-DIST,Q7397,'2',2022-01-27 16:24:02.058187: imported from zbMath Open API
,WHISPAR,Q7397,'3',2022-01-27 16:24:02.058187: imported from zbMath Open API
,MULTI2D,Q7397,'4',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BEMLIB,Q7397,'5',2022-01-27 16:24:02.058187: imported from zbMath Open API
,FIDAP,Q7397,'6',2022-01-27 16:24:02.058187: imported from zbMath Open API
,SHALL 4,Q7397,'7',2022-01-27 16:24:02.058187: imported from zbMath Open API
,MXYZPTLK,Q7397,'8',2022-01-27 16:24:02.058187: imported from zbMath Open API
,2LEV-D2P4,Q7397,'9',2022-01-27 16:24:02.058187: imported from zbMath Open API
,3D-XplorMath,Q7397,'10',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ABCRATE,Q7397,'11',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ABSFAC,Q7397,'12',2022-01-27 16:24:02.058187: imported from zbMath Open API
,Access/CPN framework,Q7397,'13',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ACETAF,Q7397,'14',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ACRITH-XSC,Q7397,'15',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ACVisualizer,Q7397,'16',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ADF95,Q7397,'17',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ADMIT-1,Q7397,'18',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ADOL-C,Q7397,'19',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ADOL-F,Q7397,'20',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ADPAC,Q7397,'21',2022-01-27 16:24:02.058187: imported from zbMath Open API
,AGD,Q7397,'22',2022-01-27 16:24:02.058187: imported from zbMath Open API
,AIFS,Q7397,'23',2022-01-27 16:24:02.058187: imported from zbMath Open API
,Akord,Q7397,'24',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ALBERT,Q7397,'25',2022-01-27 16:24:02.058187: imported from zbMath Open API
,ALCOR,Q7397,'26',2022-01-27 16:24:02.058187: imported from zbMath Open API
