id,document_title,source,classifications,doi,publication_year,author,keywords,author_ids
oai:zbmath.org:7319624,"Information security applications. 21st international conference, WISA 2020, Jeju Island, South Korea, August 26--28, 2020. Revised selected papers","Lecture Notes in Computer Science 12583. Cham: Springer (ISBN 978-3-030-65298-2/pbk; 978-3-030-65299-9/ebook). xi, 418~p. (2020)",68-06,10.1007/978-3-030-65299-9,2020,,,
oai:zbmath.org:7433395,"A dynamic approach to detecting, eliminating and fixing memory leaks","J. Comb. Optim. 42, No. 3, 409-426 (2021)",90Cxx,10.1007/s10878-019-00398-x,2021,"Yu, Bin; Tian, Cong; Zhang, Nan; Duan, Zhenhua; Du, Hongwei",memory leaks;leak detection;leak fixing;dynamic symbolic execution;low level virtual machine,
oai:zbmath.org:7343544,New quasi-cyclic codes from finite upper half-planes,"Int. J. Inf. Coding Theory 5, No. 3-4, 239-265 (2020)",94B15,10.1504/IJICOT.2020.110737,2020,"da Silva, Eduardo Brandani; Castelani, Emerson Vitor; Carneiro, Maycow Gonçalves",error-correcting codes;quasi-cyclic codes;upper half-planes;finite fields;decoding,da-silva.eduardo-brandani;castelani.emerson-vitor;carneiro.maycow-goncalves
oai:zbmath.org:7346105,Bayesian approach to discriminant problems for count data with application to multilocus short tandem repeat dataset,"Stat. Appl. Genet. Mol. Biol. 19, No. 2, Article ID 20180044, 18 p. (2020).",92D20,10.1515/sagmb-2018-0044,2020,"Tsukuda, Koji; Mano, Shuhei; Yamamoto, Toshimichi",Bayes factor;Dirichlet-multinomial model;DNA polymorphism;locus selection;sample size imbalance,tsukuda.koji;mano.shuhei;yamamoto.toshimichi
oai:zbmath.org:7346106,Understanding hormonal crosstalk in \textit{Arabidopsis} root development via emulation and history matching,"Stat. Appl. Genet. Mol. Biol. 19, No. 2, Article ID 20180053, 33 p. (2020).",92C15;92C80;34C60,10.1515/sagmb-2018-0053,2020,"Jackson, Samuel E.; Vernon, Ian; Liu, Junli; Lindsey, Keith",\textit{Arabidopsis} ;Bayesian uncertainty analysis;emulation;history matching;parameter search,jackson.samuel-e;vernon.ian;liu.junli;lindsey.keith
oai:zbmath.org:7346107,Bivariate traits association analysis using generalized estimating equations in family data,"Stat. Appl. Genet. Mol. Biol. 19, No. 2, Article ID 20190030, 13 p. (2020).",92D10,10.1515/sagmb-2019-0030,2020,"de Andrade, Mariza; Mazo Lopera, Mauricio A.; Duarte, Nubia E.",bivariate analysis;gene-set test;generalized estimating equations;family data,de-andrade.mariza;mazo-lopera.mauricio-a;duarte.nubia-e
oai:zbmath.org:7346108,Accuracy and sensitivity of different Bayesian methods for genomic prediction using simulation and real data,"Stat. Appl. Genet. Mol. Biol. 19, No. 3, Article ID 20190007, 10 p. (2020).",92D10;62P10,10.1515/sagmb-2019-0007,2020,"Foroutaifar, Saheb",Bayesian methods;genetic architecture;genomic prediction;simulation,foroutaifar.saheb
oai:zbmath.org:7346109,A weighted empirical Bayes risk prediction model using multiple traits,"Stat. Appl. Genet. Mol. Biol. 19, No. 3, Article ID 20190056, 14 p. (2020).",92D20;62P10;92D10,10.1515/sagmb-2019-0056,2020,"Li, Gengxin; Hou, Lin; Liu, Xiaoyu; Wu, Cen",empirical Bayes;next-generation sequencing;rare variants;risk prediction,li.gengxin;hou.lin;liu.xiaoyu;wu.cen
oai:zbmath.org:7346110,Spectral dynamic causal modelling of resting-state fMRI: an exploratory study relating effective brain connectivity in the default mode network to genetics,"Stat. Appl. Genet. Mol. Biol. 19, No. 3, Article ID 20190058, 18 p. (2020).",92C55;92B20,10.1515/sagmb-2019-0058,2020,"Nie, Yunlong; Opoku, Eugene; Yasmin, Laila; Song, Yin; Wang, Jie; Wu, Sidi; Scarapicchia, Vanessa; Gawryluk, Jodie; Wang, Liangliang; Cao, Jiguo; Nathoo, Farouk S.",effective brain connectivity;function-on-scalar regression;imaging genetics;longitudinal resting-state fMRI;parametric bootstrap;spectral dynamic causal modeling,
oai:zbmath.org:7346111,Bayesian reconstruction of transmission trees from genetic sequences and uncertain infection times,"Stat. Appl. Genet. Mol. Biol. 19, No. 4-6, Article ID 20190026, 13 p. (2020).",92D30;92D10;62P10,10.1515/sagmb-2019-0026,2020,"Montazeri, Hesam; Little, Susan; Mozaffarilegha, Mozhgan; Beerenwinkel, Niko; DeGruttola, Victor",Ebola;HIV;Monte Carlo Markov chain;phylogenetic analysis;transmission trees,montazeri.hesam;little.susan;mozaffarilegha.mozhgan;beerenwinkel.niko;degruttola.victor-g
