id,author,author_ids,document_title,source,classifications,keywords,doi,publication_year
oai:zbmath.org:6374359,"Ren, Qingchun; Sam, Steven V.; Sturmfels, Bernd",ren.qingchun;sam.steven-v;sturmfels.bernd,Tropicalization of classical moduli spaces,"Math. Comput. Sci. 8, No. 2, 119-145 (2014).",14T05;14K10;52C35,tropical geometry;classical projective geometry;moduli spaces,10.1007/s11786-014-0185-x,2014
oai:zbmath.org:5911532,"Cueto, María Angélica; Matsen, Frederick A.",cueto.maria-angelica;matsen.frederick-a-iv,Polyhedral geometry of phylogenetic rogue taxa,"Bull. Math. Biol. 73, No. 6, 1202-1226 (2011).",92D15;52B99;05C90;90C90,minimum evolution;distance-based phylogenetic inference;linear programming;polytope;normal fan,10.1007/s11538-010-9556-x,2011
oai:zbmath.org:5919612,"Chan, Melody; Jensen, Anders; Rubei, Elena",chan.melody;jensen.anders-nedergaard;rubei.elena,The \(4\times 4\) minors of a \(5\times n\) matrix are a tropical basis,"Linear Algebra Appl. 435, No. 7, 1598-1611 (2011).",14T05,Kapranov rank;tropical rank;tropical bases,10.1016/j.laa.2010.09.032,2011
oai:zbmath.org:5919625,"Brodsky, Sarah B.; Sturmfels, Bernd",brodsky.sarah-b;sturmfels.bernd,Tropical quadrics through three points,"Linear Algebra Appl. 435, No. 7, 1778-1785 (2011).",14T05,tropical curves;plane quadrics;Hilbert scheme;tropical Grassmannian,10.1016/j.laa.2010.05.004,2011
oai:zbmath.org:5141728,"Bogart, Tristram; Jensen, Anders N.; Thomas, Rekha R.",bogart.tristram;jensen.anders-nedergaard;thomas.rekha-r,The circuit ideal of a vector configuration,"J. Algebra 309, No. 2, 518-542 (2007).",13P10;05E99,toric ideal;circuit ideal;initial ideal;decomposition;associated primes;fans,10.1016/j.jalgebra.2006.07.025,2007
oai:zbmath.org:6116867,"Tillmann, Stephan",tillmann.stephan,Degenerations of ideal hyperbolic triangulations,"Math. Z. 272, No. 3-4, 793-823 (2012).",57M25;57N10,3-manifold;ideal triangulation;parameter space;character variety;detected surface;spun-normal surface;measured foliation;R-tree,10.1007/s00209-011-0958-8,2012
oai:zbmath.org:6142113,"Aroca, Fuensanta; Gómez-Morales, Mirna; Shabbir, Khurram",aroca.fuensanta;gomez-morales.mirna;shabbir.khurram,Torical modification of Newton non-degenerate ideals,"Rev. R. Acad. Cienc. Exactas Fís. Nat., Ser. A Mat., RACSAM 107, No. 1, 221-239 (2013).",14J17;14M25,Newton non-degenerate;Tropical Geometry;Singularity,10.1007/s13398-012-0100-8,2013
oai:zbmath.org:6143064,"Rincón, Felipe",rincon.felipe,Computing tropical linear spaces,"J. Symb. Comput. 51, 86-98 (2013).",14T05,Bergman fan;tropical linear space;cyclic Bergman fan;nested set fan;fine subdivision;cyclic flat;A-discriminant;Newton polytope,10.1016/j.jsc.2012.03.008,2013
oai:zbmath.org:6146785,"Cueto, María Angélica; Lin, Shaowei",cueto.maria-angelica;lin.shaowei,Tropical secant graphs of monomial curves,"Beitr. Algebra Geom. 54, No. 1, 383-418 (2013).",14Q05;14T05;14M25,monomial curves;secant varieties;resolution graphs;tropical implicitization;Newton polytope,10.1007/s13366-012-0091-9,2013
oai:zbmath.org:6055230,"Vinzant, Cynthia",vinzant.cynthia,Real radical initial ideals,"J. Algebra 352, No. 1, 392-407 (2012).",13P10;14P10;14T05,real algebraic geometry;tropical geometry;initial ideals;semialgebraic sets;preorders;quadratic modules,10.1016/j.jalgebra.2011.11.028,2012
oai:zbmath.org:5970575,"Rincón, Felipe",rincon.felipe,Isotropical linear spaces and valuated Delta-matroids,"J. Comb. Theory, Ser. A 119, No. 1, 14-32 (2012).",05B20;52B40,tropical linear space;isotropic subspace;Delta matroid;Coxeter matroid;valuated matroid;spinor variety;Wick relations;matroid polytope;tropical basis,10.1016/j.jcta.2011.08.001,2012
oai:zbmath.org:6194694,"Cartwright, Dustin; Payne, Sam",cartwright.dustin-a;payne.sam,Connectivity of tropicalizations,"Math. Res. Lett. 19, No. 5, 1089-1095 (2012).",14T05,,10.4310/MRL.2012.v19.n5.a10,2012
oai:zbmath.org:6203098,"Hampton, Marshall; Jensen, Anders",hampton.marshall;jensen.anders-nedergaard,Finiteness of spatial central configurations in the five-body problem,"Celest. Mech. Dyn. Astron. 109, No. 4, 321-332 (2011).",70F10,central configurations;\(n\)-body problem;tropical geometry;polyhedral Fan;Albouy-Chenciner equations,10.1007/s10569-010-9328-9,2011
oai:zbmath.org:5203512,"Bogart, T.; Jensen, A. N.; Speyer, D.; Sturmfels, B.; Thomas, R. R.",bogart.tristram;jensen.anders-nedergaard;speyer.david-e;sturmfels.bernd;thomas.rekha-r,Computing tropical varieties,"J. Symb. Comput. 42, No. 1-2, 54-73 (2007).",14Q99;14P99;68W30,tropical geometry;tropical variety;tropical basis;Gröbner fan;Bergman fan,10.1016/j.jsc.2006.02.004,2007
