qid,P13,Len,#
,'0',swMATH,initial csv import 2021-12-17
,'1',FORTRAN,initial csv import 2021-12-17
,'2',SuperLU-DIST,initial csv import 2021-12-17
,'3',WHISPAR,initial csv import 2021-12-17
,'4',MULTI2D,initial csv import 2021-12-17
,'5',BEMLIB,initial csv import 2021-12-17
,'6',FIDAP,initial csv import 2021-12-17
,'7',SHALL 4,initial csv import 2021-12-17
,'8',MXYZPTLK,initial csv import 2021-12-17
,'9',2LEV-D2P4,initial csv import 2021-12-17
,'10',3D-XplorMath,initial csv import 2021-12-17
,'11',ABCRATE,initial csv import 2021-12-17
,'12',ABSFAC,initial csv import 2021-12-17
,'13',Access/CPN framework,initial csv import 2021-12-17
,'14',ACETAF,initial csv import 2021-12-17
,'15',ACRITH-XSC,initial csv import 2021-12-17
,'16',ACVisualizer,initial csv import 2021-12-17
,'17',ADF95,initial csv import 2021-12-17
,'18',ADMIT-1,initial csv import 2021-12-17
,'19',ADOL-C,initial csv import 2021-12-17
,'20',ADOL-F,initial csv import 2021-12-17
,'21',ADPAC,initial csv import 2021-12-17
,'22',AGD,initial csv import 2021-12-17
,'23',AIFS,initial csv import 2021-12-17
,'24',Akord,initial csv import 2021-12-17
,'25',ALBERT,initial csv import 2021-12-17
,'26',ALCOR,initial csv import 2021-12-17
,'27',AlgCurve,initial csv import 2021-12-17
,'28',ALIBABA,initial csv import 2021-12-17
,'29',Aligator,initial csv import 2021-12-17
,'30',ALLD,initial csv import 2021-12-17
,'31',alloc,initial csv import 2021-12-17
,'32',Alpaga,initial csv import 2021-12-17
,'33',ALPAL,initial csv import 2021-12-17
,'34',Alpi,initial csv import 2021-12-17
,'35',ALPO,initial csv import 2021-12-17
,'36',ALPS,initial csv import 2021-12-17
,'37',ALTDSE,initial csv import 2021-12-17
,'38',AMBRE,initial csv import 2021-12-17
,'39',AMD,initial csv import 2021-12-17
,'40',AMEEDA,initial csv import 2021-12-17
,'41',AMESPLOT,initial csv import 2021-12-17
,'42',ANALYST,initial csv import 2021-12-17
,'43',Analytical Finance Package,initial csv import 2021-12-17
